M,N,PR,TT/TL,SI,Lm,IP,RL,BL,TD,PRT,WGT,DoMax,DoMin,WMax,WMin,DsMax,WsMax,LR_RL,LR_BL,AR,WS,A,RD,FH,G,AM,QS
16,4.4,4,TL,210,1100,55,1650,3300,Flight Eagle,164F43-2,8.3,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.8,IAI,C62c
16,4.4,6,TT,139K,1700,85,2550,5100,Rib,461B-2494,6.2,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.8,Cessna,USAF 57D793
16,4.4,6,TL,210,1700,85,2550,5100,Flight Eagle,164F63-1,9.6,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.9,IAI,C62c
16,4.4,6,TL,210,1700,85,2550,5100,Flight Eagle DT,164F63-2,10.1,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.9,IAI,C62c
16,4.4,6,TL,160,1700,85,2550,5100,Rib,164F66-2,6.2,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.8,Embraer,C62b
16,4.4,10,TL,190,2900,155,4400,7800,Flight Eagle,164F08-1,8.7,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.9,SWE,C62d
16,4.4,10,TT,210,2900,155,4400,7800,Flight Eagle DT,164F03-1,10.3,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,0.9,Cessna,C62d
16,4.4,12,TL,190,3475,185,5213,10425,Flight Eagle,164F28-1,8.7,16,15.5,4.45,4.15,14.55,3.9,6.9,5.9,0.901,16x4.4,3.5,8,0.81,3.5,Sino Sweringen,C62d
18,4.4,6,TL,190,2100,100,3150,6300,Rib DDT,184F68-1,10.7,17.9,17.4,4.45,4.15,16.5,3.9,7.85,6.9,0.89,18x4.4,3.5,10,0.81,1.05,Cessna,C62d
18,4.4,6,TL,174K,2100,100,3150,6300,Rib,461B-2741-TL,8.5,17.9,17.4,4.45,4.15,16.5,3.9,7.85,6.9,0.89,18x4.4,3.5,10,0.81,1.05,Northrop Rockwell,USAF 56D1172
18,4.4,10,TL,190,3550,185,5320,10600,Rib DDT,184F08-1,13,17.9,17.4,4.45,4.15,16.5,3.9,7.85,7.1,0.89,18x4.4,3.5,10,0.81,1.25,Cessna,C62c
18,4.4,10,TL,210,3550,185,5320,10600,Flight Eagle DT,184F03-2,12.3,17.9,17.4,4.45,4.15,16.5,3.9,7.85,7.1,0.89,18x4.4,3.5,10,0.81,1.25,Lockheed Rockwell,C62c
18,4.4,10,TL,210,3550,185,5320,10600,Rib DDT,184F13-5,13.5,17.9,17.4,4.45,4.15,16.5,3.9,7.85,7.1,0.89,18x4.4,3.5,10,0.81,1.25,Cessna Mitsubishi,C62c
18,4.4,10,TL,210,3550,185,5320,10600,Rib DDT,184F10-2,12.8,17.9,17.4,4.45,4.15,16.5,3.9,7.85,7.1,0.89,18x4.4,3.5,10,0.81,1.25,Cessna,C62c
18,4.4,12,TL,210,4350,225,6520,13000,Flight Eagle DT,184F23-2,13.2,17.9,17.4,4.45,4.15,16.5,3.9,7.85,7.2,0.89,18X4.4,3.5,10,0.81,1.25,Lockheed Canadair,C62c
18,4.4,12,TL,210,4350,225,6520,13000,Rib DT,184F23-4,12.8,17.9,17.4,4.45,4.15,16.5,3.9,7.85,7.1,0.89,18x4.4,3.5,10,0.81,1.25,Canadair,C62c
20,4.4,12,TL,195K,5150,225,7730,15500,Rib,461B-3072-TL,14.8,20,19.5,4.45,4.15,19.45,3.95,8.9,8.1,0.901,20x4.4,3.5,12,0.81,1.25,Northrop,USAF 56D1171L
20,4.4,14,TL,255,6000,265,9000,18000,Rib,461B-3484-TL,14.5,20,19.5,4.45,4.15,19.45,3.95,8.9,8.1,0.901,20x4.4,3.5,12,0.81,1.25,Northrop,USAF
18,5.5,8,TL,210,3050,105,4570,9200,Flight Leader,185F83G1,11.7,17.9,17.3,5.7,5.35,16.2,5,7.55,6,0.869,18x5.5,4.25,8,0.88,1.25,Saab,C62c
18,5.5,12,TL,174K,5050,170,7570,15200,Rib,185P2EG1,15.2,17.9,17.3,5.7,5.35,16.2,5,7.55,6.1,0.869,18x5.5,4.25,8,0.88,1.25,Saab,5041F
18,5.5,14,TL,239K,6200,215,9300,18600,Rib,185P4HG1,15.6,17.9,17.3,5.7,5.35,16.2,5,7.55,6.3,0.869,18x5.5,4.25,8,0.88,1.5,Lockheed,5041F
18,5.5,8,TL,139K,3050,105,4570,9200,Rib,461B-3075-TL,12.3,17.9,17.3,5.7,5.35,16.2,5,7.55,6.1,0.869,18X5.5,4.25,8,0.88,1.25,—,USN MS26535-2
18,5.5,14,TL,239K,6200,215,9300,18600,Rib,461B-2585-TL,15.7,17.9,17.3,5.7,5.35,16.2,5,7.55,6.3,0.869,18X5.5,4.25,8,0.88,1.5,McDonnell-Douglas,USAF 66D1895
