Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
,13.0,5.0,4.0,14,180,"3,100",143,"9,300",13.25,12.7,5.25,4.95,11.6,4.6,0.88,5.3,,4.25,4,0.75,0.8,5.5,AIR-8505 
,13.5,6.0,4.0,12,,"2,450",95,"7,350",13.75,13.2,6.1,5.75,12,5.4,0.8,5.35,,4.75,4,0.55,0.75,5.1,MIL 
,13.5,6.0,4.0,14,230,"3,450",135,"10,350",13.75,13.2,6.1,5.75,12,5.4,0.8,5.35,,4.75,4,0.55,0.94,5.1,MIL 
,14.5,5.5,6.0,8,,,,,14.2,,5.5,5.15,13,4.85,0.77,,,4.25,6,0.875,1.5,7.75,
,14.5,5.5,6.0,12,,"3,000",135,"9,000",14.5,14,5.5,5.15,13,4.85,0.77,6.1,,4.25,6,0.875,1.5,7.75,TSO-C62 
,14.5,5.5,6.0,14,,"3,550",155,"10,650",14.5,14,5.5,5.15,13,4.85,0.77,6.1,,4.25,6,0.875,1.5,7.75,TSO-C62 
,15.0,6.0,6.0,4,120,"1,250",45,"3,750",15.2,14.55,6.3,5.9,13.55,5.55,0.73,6.1,,5,6,0.75,0.8,7.5,MIL-T-5041 
,15.0,6.0,6.0,6,120,"1,950",68,"5,850",15.2,14.55,6.3,5.9,13.55,5.55,0.73,6.1,,5,6,0.75,0.85,7.5,TSO-C62 
,15.0,6.0,6.0,6,160,"1,950",68,"5,850",15.2,14.55,6.3,5.9,13.55,5.55,0.73,6.1,,5,6,0.75,0.85,7.5,TSO-C62 
,15.0,6.0,6.0,6,LS ,"1,950",68,"5,850",15.2,14.55,6.3,5.9,13.55,5.55,0.73,6.1,,5,6,0.75,0.85,7.5,MIL-T-5041 
,16.0,4.4,,4,,"1,100",55,"3,300",16,15.5,4.45,4.15,14.55,3.9,0.9,6.9,5.7,3.5,8,0.812,0.8,9.62,
